ClienteID;PaisID;Nome;Telefone;Endereço;Cidade;Estado;Bairro;CEP
1;1;Amado-Tur ;;;;;;
2;1;GST Brasil;;;;;;
3;1;Giratour Viagens;;;;;;
4;1;Ananda Eventos;;;;;;
5;1;Fortur Viagens;;;;;;
6;1;Make Travel;;;;;;
7;1;Bussola Viagens;;;;;;
8;1;Alpha Tours;;;;;;
9;1;Carmel Express;;;;;;
10;1;Farol Turismo ;;;;;;
11;1;Martinez Turismo;;;;;;
12;2;OLA viajes;;;;;;
13;2;Jetmar Viajes;;;;;;
14;2;Pentágono Operadora;;;;;;
15;2;Omega Tour Operator;;;;;;
16;2;Aborigens Tours;;;;;;
17;2;Barny Viajes ;;;;;;
18;4;Busco destinos ;;;;;;
19;4;Xigno Travel;;;;;;
20;4;BonBini SRL;;;;;;
21;5;Otsi Tour;;;;;;
22;5;Charming Travel;;;;;;
23;5;Club-Tour;;;;;;
24;16;Congressos Viagens;;;;;;
25;1;Entremares;;;;;;
26;1;Ez Plaza;;;;;;
27;1;Hansaperú Consulting;;;;;;
28;16;All Peru Tours;;;;;;
29;3;Altour;;;;;;
30;3;Viajes El Corte;;;;;;
